expo,table,project,sponsors,link,route
1,1,Food For Though,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best User Experience, Best Progressive Web App, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56529-food-for-though,
1,2,Politiview,"Most Entrepreneurial Hack, Best Use of Linode Services, Best Use of MongoDB",http://pennapps-xiv.devpost.com/submissions/56530-politiview,social + civic hacking
2,87,LiveKan,"Best Use of Data Visualization, Best Use of VR/AR for Content Discovery, Most Entrepreneurial Hack, Best Use of Linode Services",http://pennapps-xiv.devpost.com/submissions/56532-livekan,
1,4,The Quiet Game,Best User Experience,http://pennapps-xiv.devpost.com/submissions/56534-the-quiet-game,
1,5,FaceTheMusic,"Best Design Using PYNQ-Z1 Boards, Peripherals, and Tools (3)",http://pennapps-xiv.devpost.com/submissions/56539-facethemusic,
1,6,trade-O-bundle,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Domain Name Registered in PennApps XIV, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56546-trade-o-bundle,
1,7,vox,,http://pennapps-xiv.devpost.com/submissions/56563-vox,
1,8,Medical.me,"Most Entrepreneurial Hack, Best Domain Name Registered in PennApps XIV, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56568-medical-me,health
1,9,Batman Scan,"Most Entrepreneurial Hack, Best Use of Nexmo API",http://pennapps-xiv.devpost.com/submissions/56572-batman-scan,social + civic hacking
1,10,SAFEphilLY,"Best Use of Data Visualization, Best Public Safety or Video Processing App, Best User Experience, Best Progressive Web App",http://pennapps-xiv.devpost.com/submissions/56581-safephilly,social + civic hacking
1,11,HearTempo,,http://pennapps-xiv.devpost.com/submissions/56582-heartempo,health
1,12,WristPass,"Best Use of Rapid Prototyping, sposnored by AddLab, Most Entrepreneurial Hack, Lutron IoT Prize, Best Use of the Capital One API - Nessie, Best Use of Nexmo API, Best Use of Linode Services, Best Use of MongoDB, Best User Experience, Best Use of Lyft API",http://pennapps-xiv.devpost.com/submissions/56584-wristpass,hardware
1,13,Newstock,"Best Use of Data Visualization, Most Entrepreneurial Hack, Best Use of Linode Services, Best User Experience",http://pennapps-xiv.devpost.com/submissions/56595-newstock,
1,14,whoot,,http://pennapps-xiv.devpost.com/submissions/56600-whoot,social + civic hacking
